Model,pub,C,D,N_epoch,Confidence,Training compute notes
OLMo 2 32B,2025-03-13,1.3e+24,4000.0,32.0,Confident,first table here: https://allenai.org/blog/olmo2-32B
"Ling-lite-1.5 (""Bailing"")",2025-03-10,1.485e+23,9000.0,16.8,Confident,6 FLOP / parameter / token * 2.75 * 10^9 active parameters * 9 * 10^12 tokens = 1.485e+23 FLOP
"Ling-Plus (""Bailing"")",2025-03-10,1.5552e+24,9000.0,290.0,Confident,6 FLOP / parameter / token * 28.8 * 10^9 active parameters * 9 * 10^12 tokens = 1.5552e+24 FLOP
Phi-4 Mini,2025-03-03,9.9561596e+22,5000.0,3.8,Confident,"6ND = 6 FLOP / token / parameter * 3800000000 parameters * 5000000000000 tokens = 1.14e+23 FLOP

512 GPUs * 312000000000000 FLOP / sec * 504 hours * 3600 sec / hour * 0.3 [assumed utilization] = 8.6951854e+22 FLOP

geometric mean: 
sqrt(1.14e+23*8.6951854e+22) = 9.9561596e+22"
YandexGPT 5 Lite,2025-02-25,7.3536e+23,15320.0,8.0,Confident,6 FLOP / token / parameter * 8 * 10^9 parameters * 15.32 * 10^12 tokens [see dataset size notes] = 7.3536e+23 FLOP
Mistral Small 3,2025-01-30,1.152e+24,8000.0,24.0,Confident,6ND = 6*8T tokens * 24B parameters = 1.152e+24 FLOP
Baichuan-Omni-1.5,2025-01-26,3.3e+22,500.0,11.0,Likely,"500B tokens of ""high-quality data (text, audio, and vision)""
11B parameters (safetensors)
the model was trained by modules, epochs unknown -> with 'likely' confidence approximate training compute is

6 FLOP / parameter / token * 11 * 10^9 parameters * 500 * 10^9 tokens = 3.3e+22 FLOP"
gte-modernbert,2025-01-22,3.676128e+21,1.028,0.149,Likely,6 FLOP / token / parameter * 149 * 10^6 parameters * 1028000000000 tokens * 4 epochs [see dataset size notes] = 3.676128e+21 FLOP
OLMo 2 Furious 7B,2024-12-31,1.8e+23,,7.0,Confident,1.8*10^23 FLOPs (Table 6 - developers calculated using 6ND formula)
OLMo 2 Furious 13B,2024-12-31,4.6e+23,,13.0,Confident,"4.6*10^23 FLOPs (Table 6 - developers calculated using 6ND formula)
"
Granite 3.1 2B,2024-12-18,1.8e+23,12000.0,2.5,Confident,6 FLOP / token / parameter * 2.5 * 10^9 parameters * 12*10^12 tokens = 1.8e+23 FLOP
Granite 3.1 8B,2024-12-18,5.832e+23,12000.0,8.1,Confident,6ND = 6 FLOP / parameter / token * 8.1*10^9 parameters * 12*10^12 tokens = 5.832e+23 FLOP
Falcon3-7B,2024-12-17,5.88e+23,14000.0,7.0,Confident,6 FLOP / parameter / token * 7 * 10^9 parameters * 14 * 10^12 tokens = 5.88e+23 FLOP
Phi-4,2024-12-12,9.3202015e+23,,14.0,Confident,"6ND = 6* 14*10^9 parameters * 10*10^12 tokens = 8.4e+23 FLOP

989500000000000 FLOP / sec [assumed bf16 precision] * 1920 GPUs * 504 hours * 3600 sec / hour * 0.3 [assumed utilization] = 1.0341209e+24 FLOP

geometric mean
sqrt(8.4e+23 * 1.0341209e+24) = 9.3202015e+23"
EXAONE 3.5 2.4B,2024-12-09,9.36e+22,6500.0,2.4,Confident,9.36 × 10^22 (Table 2)
EXAONE 3.5 7.8B,2024-12-09,4.21e+23,9000.0,7.8,Confident,4.21 × 10^23 (Table 2)
EXAONE 3.5 32B,2024-12-09,1.25e+24,6500.0,32.0,Confident,1.25 × 10^24 (Table 2) 
Llama 3.3 70B,2024-12-06,6.8649768e+24,15000.0,70.0,Confident,"6ND = 6 FLOP / parameter / token * 70*10^9 parameters * 15*10^12 tokens = 6.3e+24 FLOP

7000000 GPU-hours * 3600 sec / hour * 989500000000000 FLOP / second * 0.3 [assumed utilization]= 7.48062e+24 FLOP

sqrt(7.48062e+24*6.3e+24) = 6.8649768e+24"
Pleias 1.0 350m,2024-12-05,2.6788982e+21,,0.35,Confident,"6 FLOP / parameter / token * 350 * 10^6 parameters * 1,086,324,736,000 tokens = 2.2812819e+21 FLOP

989400000000000 FLOP / GPU / sec [bf16 assumed] * 46 HOURS * 3600 sec / hour * 64 GPUs * 0.3 [assumed utilization] = 3.1458171e+21 FLOP

sqrt(2.2812819e+21*3.1458171e+21) = 2.6788982e+21 "
